1,0.263045,2.256367
2,0.283601,1.927270
3,0.331266,1.760499
4,0.399548,1.509779
5,0.418309,1.442438
6,0.424882,1.413952
7,0.430495,1.411247
8,0.428322,1.428263
9,0.426884,1.436090
10,0.435081,1.443305
11,0.434610,1.436514
12,0.438295,1.432910
13,0.440490,1.429135
14,0.441325,1.436514
15,0.445635,1.435491
16,0.442657,1.440089
17,0.440624,1.452780
18,0.441836,1.455883
19,0.440602,1.465209
20,0.440177,1.473223
21,0.450270,1.470061
22,0.436795,1.482490
23,0.436908,1.491938
24,0.437120,1.503605
25,0.435759,1.511694
26,0.435653,1.525445
27,0.433105,1.528588
28,0.431797,1.536351
29,0.446690,1.536389
30,0.428468,1.547055
31,0.426089,1.560022
32,0.426457,1.576979
33,0.424790,1.585337
34,0.424682,1.595714
35,0.422537,1.603267
36,0.417637,1.618315
37,0.419686,1.626373
38,0.418354,1.627358
39,0.415149,1.639373
40,0.414594,1.661545
41,0.409643,1.654737
42,0.406502,1.674032
43,0.411268,1.682291
44,0.402048,1.693589
45,0.404512,1.701984
46,0.401792,1.721198
47,0.420261,1.729295
48,0.389059,1.724891
49,0.392228,1.754398
50,0.393384,1.770139
